Date,c
2001-01-02,
2001-01-03,
2001-01-04,
2001-01-05,
2001-01-08,
2001-01-09,
2001-01-10,
2001-01-11,
2001-01-12,
2001-01-16,
2001-01-17,
2001-01-18,
2001-01-19,
2001-01-22,
2001-01-23,
2001-01-24,
2001-01-25,
2001-01-26,
2001-01-29,
2001-01-30,
2001-01-31,
2001-02-01,0.06838875133792935
2001-02-02,-0.0014823352157858824
2001-02-05,0.016656717638237215
2001-02-06,0.04689437629997608
2001-02-07,0.03400026915120073
2001-02-08,0.024919029207055736
2001-02-09,-0.002159242670321827
2001-02-12,0.008283669691368999
2001-02-13,0.001967825896125886
2001-02-14,-0.0059174570193243105
2001-02-15,-0.0008476763802056168
2001-02-16,-0.03304606372695244
2001-02-20,-0.042883970076060665
2001-02-21,-0.0713194486312859
2001-02-22,-0.07765264543972465
2001-02-23,-0.08741497214583809
2001-02-26,-0.06382795057662413
2001-02-27,-0.0719670640095485
2001-02-28,-0.09717892409499851
2001-03-01,-0.10069436207693266
2001-03-02,-0.10299534095367859
2001-03-05,-0.10051546896431575
2001-03-06,-0.06687564217581717
2001-03-07,-0.06707982123863258
2001-03-08,-0.0630279671578456
2001-03-09,-0.0878693042976798
2001-03-12,-0.11988810145795463
2001-03-13,-0.09393055125128208
2001-03-14,-0.12526332324707232
2001-03-15,-0.11680086795821976
2001-03-16,-0.13554810762716543
2001-03-19,-0.12505230688410782
2001-03-20,-0.12996676562515003
2001-03-21,-0.13156599838115463
2001-03-22,-0.11996160833077531
2001-03-23,-0.09168322229742684
2001-03-26,-0.07223203585765958
2001-03-27,-0.07305970740445246
2001-03-28,-0.09179930746069162
2001-03-29,-0.06809204380038736
2001-03-30,-0.06289908208328528
2001-04-02,-0.07649169123737536
2001-04-03,-0.11952303148949776
2001-04-04,-0.12604988021068178
2001-04-05,-0.09597397229569513
2001-04-06,-0.1124030607469125
2001-04-09,-0.07131871869358776
2001-04-10,-0.009496271277706737
2001-04-11,-0.025106182495334268
2001-04-12,0.012837005001208898
2001-04-16,0.0020093153466902366
2001-04-17,0.036286871036037414
2001-04-18,0.05512016528518247
2001-04-19,0.0955492546069699
2001-04-20,0.10348828632576393
2001-04-23,0.09537551303862755
2001-04-24,0.06017196422875251
2001-04-25,0.0604931035917182
2001-04-26,0.044712520648641924
2001-04-27,0.08925494403889604
2001-04-30,0.0924092370229211
2001-05-01,0.08506000514454437
2001-05-02,0.10481771627538267
2001-05-03,0.1259731429205647
2001-05-04,0.13868203791057718
2001-05-07,0.09281856437884121
2001-05-08,0.10767005944773976
2001-05-09,0.09240109426282882
2001-05-10,0.0772632267814457
2001-05-11,0.06964964967118993
2001-05-14,0.053646376650713
2001-05-15,0.06883376300781058
