Date,c
2001-01-02,
2001-01-03,0.046916920565236324
2001-01-04,-0.010822177450940567
2001-01-05,-0.03318751056283289
2001-01-08,0.007710812623758759
2001-01-09,-0.0026440992013508353
2001-01-10,0.017416557301050097
2001-01-11,0.0009453457611748687
2001-01-12,-0.0018916770918753424
2001-01-16,0.006371669497350033
2001-01-17,0.004576187841603325
2001-01-18,0.009902931059942131
2001-01-19,-0.00569627803827091
2001-01-22,0.006623892704805362
2001-01-23,0.00784487214037636
2001-01-24,0.002983315542070273
2001-01-25,-0.0025236283015629946
2001-01-26,-0.0011498799011472956
2001-01-29,0.005322014121495455
2001-01-30,0.008746107154580298
2001-01-31,-0.005676212583395168
2001-02-01,0.00661958815586197
2001-02-02,-0.022954165988478988
2001-02-05,0.007316875403082536
2001-02-06,-0.002949851901094199
2001-02-07,-0.005183294525016518
2001-02-08,-0.011725339145495717
2001-02-09,-0.00966171457632744
2001-02-12,0.011388258122865574
2001-02-13,-0.008207520887118201
2001-02-14,-0.0015136134181001648
2001-02-15,0.009645968480722121
2001-02-16,-0.022295456286804675
2001-02-20,-0.015534184387379187
2001-02-21,-0.02181158585041979
2001-02-22,0.001511675331937672
2001-02-23,-0.0067790111640431625
2001-02-26,0.021063393267650894
2001-02-27,-0.009288993334071719
2001-02-28,-0.019889845963954534
2001-03-01,0.005230669172646057
2001-03-02,-0.007977191460141034
2001-03-05,0.009099460145224678
2001-03-06,0.01068566080001957
2001-03-07,0.007112696340267096
2001-03-08,0.0011020021796927528
2001-03-09,-0.03002463166485069
2001-03-12,-0.04374413630577057
2001-03-13,0.01629583563034502
2001-03-14,-0.019944513872924546
2001-03-15,0.0002549344017342923
2001-03-16,-0.0202608530870458
2001-03-19,0.020141769223779717
2001-03-20,-0.027209915027846882
2001-03-21,-0.01713341714338363
2001-03-22,-0.010207195800040581
2001-03-23,0.029790061365285923
2001-03-26,0.012672175275724111
2001-03-27,0.020235721720858194
2001-03-28,-0.028028593390310802
2001-03-29,0.003817417696349769
2001-03-30,0.010423630889748226
2001-04-02,-0.021569800614231242
2001-04-03,-0.03393188010689775
2001-04-04,0.004158812078835815
2001-04-05,0.03718860425525371
2001-04-06,-0.015327086271524487
2001-04-09,0.011059710388474182
2001-04-10,0.01807831111011029
2001-04-11,0.0006859244127174939
2001-04-12,0.017998673623618535
2001-04-16,-0.010572755252784408
2001-04-17,0.014016702602301326
2001-04-18,0.038975063472924766
2001-04-19,0.013219174293940577
2001-04-20,-0.009194385424589719
2001-04-23,-0.018319969087176997
2001-04-24,-0.0054134874445889
2001-04-25,0.012993314638689725
2001-04-26,0.004455138777781764
2001-04-27,0.016513829999943268
2001-04-30,0.006971710680374728
2001-05-01,0.0030743990113715003
2001-05-02,-0.0018120894833928284
2001-05-03,-0.012776453461715766
2001-05-04,0.016867707068848273
2001-05-07,-0.008674869276482174
2001-05-08,-0.00047559120262610956
2001-05-09,-0.0042092547964368175
2001-05-10,0.0029404436287273085
2001-05-11,-0.0069276526975382705
2001-05-14,0.001995400603141638
2001-05-15,0.0046146311043132856
2001-05-16,0.023301259702367703
2001-05-17,0.0015500147456480545
2001-05-18,0.004557990267700476
2001-05-21,0.014614567240206143
2001-05-22,-0.0012921761653482168
2001-05-23,-0.01710604216271196
2001-05-24,0.002935590241344544
2001-05-25,-0.011873670612411598
2001-05-29,-0.00799389218186497
2001-05-30,-0.014105820770888384
2001-05-31,0.005174302171313041
2001-06-01,0.006173687165394446
