Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2001-01-02,81.77432250976562,83.89704267195508,80.98078226221816,83.79785014101164,8737500
2001-01-03,85.70234680175781,86.33717900028935,81.04029784379182,81.45690647407815,19431600
2001-01-04,84.77986145019531,85.99992965639328,84.43268757038288,85.66267503028978,9219000
2001-01-05,82.01240539550781,84.82947398916096,82.01240539550781,84.73028143304641,12911400
2001-01-08,82.64723205566406,82.64723205566406,81.06015126726916,82.4488469571147,6625300
2001-01-09,82.42899322509766,83.48043405323969,82.16117339151431,83.19277571346498,5702400
2001-01-10,83.877197265625,83.877197265625,81.77431578261738,81.89334680995742,8746100
2001-01-11,83.95652770996094,84.74014841991922,83.22250324746837,83.22250324746837,7245100
2001-01-12,83.79785919189453,84.88897715012233,83.341573500272,84.23430637518565,7244000
2001-01-16,84.33349609375,84.55171967809045,83.49035951788917,83.79785638673253,8542200
2001-01-17,84.72030639648438,85.7320698026946,84.20450544429879,85.6031195646482,7851400
2001-01-18,85.5634536743164,86.14868944602804,84.3929821308931,84.71039814266892,8107000
2001-01-19,85.07744598388672,86.45622236161321,84.98817269324255,86.45622236161321,7782500
2001-01-22,85.64286041259766,86.19833877524596,84.78980435567347,85.22625164061142,7050900
2001-01-23,86.3173599243164,86.75380715905209,85.16672630546779,85.36511141216582,8463100
2001-01-24,86.57525634765625,87.17041163877214,86.2380016826906,86.4959023088408,6199900
2001-01-25,86.35704803466797,87.13075005014053,86.11898587606103,86.49591762718869,10818300
2001-01-26,86.25780487060547,86.41651288324688,85.35515304870746,85.80151933426141,7136800
2001-01-29,86.71809387207031,86.9085358078593,85.93724318824788,86.0197744849377,6705900
2001-01-30,87.47986602783203,87.55604278068459,86.20384729693646,86.52761787009823,7069100
2001-01-31,86.9847183227539,88.05123186187582,86.71808993797343,87.22594799273351,9706900
2001-02-01,87.56243133544922,87.57513069618865,86.4959175159137,87.03552894943819,8239100
2001-02-02,85.57540130615234,87.60051801914032,85.54365775182124,87.22595957686966,8276600
2001-02-05,86.20384216308594,86.2990727852494,85.54362107522161,85.57536461594276,4352900
2001-02-06,85.9499282836914,86.78155688787584,85.84200797572865,85.89279571243529,7106700
2001-02-07,85.50557708740234,85.95630266460313,84.86439016700528,85.52462128436724,5748700
2001-02-08,84.50885009765625,85.95626658000226,84.49616042952255,85.57537311383042,5943300
2001-02-09,83.69628143310547,84.65488432919919,83.32807756605395,84.65488432919919,9913000
2001-02-12,84.6548843383789,84.7501053010873,83.6074053147296,83.6074053147296,5804400
2001-02-13,83.96292114257812,85.17545322729279,83.79786822271095,84.87708125489132,6587600
2001-02-14,83.83592987060547,84.21047850396711,82.9471687597864,84.21047850396711,8400100
2001-02-15,84.64852142333984,84.76279625403082,83.79150378362452,84.33110533008889,5929800
2001-02-16,82.7821273803711,83.34712773536202,82.08381766804332,83.16303063202047,6434900
2001-02-20,81.50611114501953,83.25189981013635,81.32201405705929,83.18841271124178,5760000
2001-02-21,79.7475814819336,81.7917360407598,79.67139991369712,81.19499737474716,10910800
2001-02-22,79.86822509765625,80.33165466259572,78.0970429542004,80.21103501349137,21281600
2001-02-23,79.32862854003906,79.69683236642655,77.32256137211459,79.4048101451698,20173000
2001-02-26,81.01728057861328,81.01728057861328,79.03660253061308,79.8618862614594,11503700
2001-02-27,80.26819610595703,81.15695743512758,79.67780188393033,80.4967361172826,11415000
2001-02-28,78.68744659423828,80.52211120278443,78.25576051908712,80.46497863153957,14825800
2001-03-01,79.10011291503906,79.10011291503906,77.29084161591068,78.75095801500329,14672000
2001-03-02,78.47162628173828,79.76668484226919,77.63999746254589,77.76696199375256,12564300
2001-03-05,79.18893432617188,79.21432818481328,78.59854043206332,78.8143858088236,5293200
2001-03-06,80.03965759277344,81.09982637197486,79.66510401699573,80.21106018278284,6917000
2001-03-07,80.6109848022461,80.64907317959775,79.83648884019783,80.56019707018743,6371700
2001-03-08,80.69986724853516,80.77604400922016,80.07772959042543,80.3697518076165,6055000
2001-03-09,78.31289672851562,80.05233551483263,78.15418868631993,80.05233551483263,10020300
2001-03-12,74.96101379394531,77.76697194582252,74.75151793159674,77.66539643314914,13972900
2001-03-13,76.19257354736328,76.45920680494866,74.61184241359852,75.79898060546543,12888000
2001-03-14,74.68800354003906,75.72912788029487,73.48182148436176,74.30710521808437,19883400
2001-03-15,74.70704650878906,75.45614862852517,74.50390041750731,75.19586512602223,10370300
2001-03-16,73.20864868164062,74.72998267360818,73.08133745142621,74.55811372692543,58514600
2001-03-19,74.69815063476562,74.91457728917487,73.08770127491013,73.68605189168238,10067800
2001-03-20,72.69302368164062,75.40469132129205,72.63573728850254,75.04822970240983,15083900
2001-03-21,71.4581527709961,73.3677773410441,71.22899743407622,72.68031133028448,19004600
2001-03-22,70.73247528076172,71.67455374212146,68.77192679268605,71.30535860025817,28624800
2001-03-23,72.87129974365234,72.98587744986988,70.97440324214604,72.08835127509451,12861700
2001-03-26,73.80061340332031,74.0106683799395,73.05585625492746,73.64783996669196,9943800
2001-03-27,75.30923461914062,75.52566128698021,73.38051436155827,73.59694102939785,12880700
2001-03-28,73.22772979736328,74.4435214549136,73.13861438189575,74.41169729591857,10953300
2001-03-29,73.50780487060547,74.15707497822272,71.38175401541639,73.01129848663274,12060300
2001-03-30,74.27803039550781,74.27803039550781,72.8840029338091,73.55237346223552,9183600
2001-04-02,72.69302368164062,74.71722546508319,72.43841101468207,74.02976446529964,10561000
2001-04-03,70.26779174804688,72.66118832873052,70.05773195939541,72.55297747630688,12836000
2001-04-04,70.56063079833984,71.35630774657648,69.57399429638242,70.3823999389631,14884300
2001-04-05,73.23408508300781,73.51415997778598,71.61090267969793,72.1201377079903,21522800
2001-04-06,72.12017822265625,72.8203731375851,71.3308629997501,72.55938870345615,14937800
2001-04-09,72.92223358154297,73.19594677430142,71.78918985314765,72.56577169569157,9034300
2001-04-10,74.25253295898438,74.9527273172021,73.3104498333726,73.48868059476358,17873600
2001-04-11,74.30348205566406,75.74206216750648,73.9279200927136,75.6083890521455,12722300
2001-04-12,75.6529541015625,75.71024536023647,73.81334960862493,74.0297762376667,9233200
2001-04-16,74.85730743408203,75.67844685905514,74.4180969371359,75.29652278745623,7350000
2001-04-17,75.91394805908203,76.16856565521823,74.48809146329,74.67268909907808,10924700
2001-04-18,78.93111419677734,80.20419668382215,76.82416423477397,77.05968138676572,32481600
2001-04-19,79.9814453125,80.10238490248834,78.66380452158941,79.09028618699503,13809900
2001-04-20,79.24943542480469,79.82232388108875,78.71474276989115,79.50405305608953,7626700
2001-04-23,77.81080627441406,78.8611003788506,77.60075133866648,78.7083318283729,8451800
2001-04-24,77.39071655273438,78.70835726036486,77.08517449662857,77.98906225895115,10044700
2001-04-25,78.40283966064453,78.72111050917172,76.98971631615538,77.28889169079939,8249000
2001-04-26,78.75291442871094,79.70772666988071,78.61287452297785,78.75928120345141,10590400
2001-04-27,80.06422424316406,80.10241519587444,79.05848706607804,79.51679792431615,7938700
2001-04-30,80.62435913085938,81.01264502808058,79.35763788568039,80.49068112494452,10766900
2001-05-01,80.87261199951172,80.93626518805075,79.31308216995694,79.61225749816009,10578000
2001-05-02,80.7261962890625,81.27998916606619,80.20423243099088,81.10175831547001,9572900
2001-05-03,79.70136260986328,80.29971318876659,79.07118786902608,80.28697963885193,9926200
2001-05-04,81.05714416503906,81.06351093605922,78.57463767374554,78.70831072662878,12145300
2001-05-07,80.35702514648438,81.0826823167246,80.3506632259304,80.75168276008593,7185200
2001-05-08,80.31881713867188,80.90443422950018,79.92415960889096,80.7516656093769,6952600
2001-05-09,79.9814453125,80.5543336686408,79.60588327930849,79.72682772572335,9507400
2001-05-10,80.21697235107422,81.15905608004701,80.05783694699569,81.00628745193123,6872400
2001-05-11,79.66317749023438,80.51614085260054,79.18577131852672,80.20423684688436,7734400
2001-05-14,79.82229614257812,79.84775838250113,79.2239456454516,79.50402542817902,7914000
2001-05-15,80.19149780273438,80.52249723557091,79.4722028220826,79.9177847720244,9782200
2001-05-16,82.08200073242188,82.24113606137689,79.32578052580406,79.4658155358876,14909000
2001-05-17,82.2093276977539,82.80131632081093,81.83377055819258,82.11385036154411,11824600
2001-05-18,82.58489227294922,82.58489227294922,81.5409646701486,82.17113449746095,6683100
2001-05-21,83.80069732666016,83.92164178409881,82.20934333479153,82.64855859060391,11531500
2001-05-22,83.6924819946289,84.08077273662403,83.43150733553325,83.91527542684953,8342700
2001-05-23,82.27301025390625,83.41878719421057,82.27301025390625,83.41878719421057,12330800
2001-05-24,82.51488494873047,82.75040221615569,81.82741890323847,82.41303596876425,7902800
2001-05-25,81.54092407226562,82.55938407047002,81.41361293017245,82.52755507084085,7425000
2001-05-29,80.89169311523438,81.7001035211417,80.77711545362648,81.61735001994225,9003900
2001-05-30,79.75865936279297,80.89806448085494,79.5676949523367,80.5797937010456,10041800
2001-05-31,80.17242431640625,80.68802639027192,79.7332138504667,79.84142477276865,9874200
2001-06-01,80.66891479492188,80.90443206622558,79.64408248516152,80.33154368554794,8848300
2001-06-04,81.05714416503906,81.11443539137379,80.25510584773963,80.71341623272407,5623500
2001-06-05,81.98654174804688,82.26024991286833,81.01262923773001,81.15266913554392,9115400
2001-06-06,81.30547332763672,82.00566822505773,81.0699511507578,82.00566822505773,12064900
2001-06-07,81.59823608398438,81.70008502966226,80.84075033388643,80.87257934351703,7355300
2001-06-08,80.84078216552734,81.3945750987545,80.29335600801828,81.28635933725475,8170600
2001-06-11,80.26793670654297,80.83445863788005,79.82872607554708,80.65622767383192,7012200
2001-06-12,80.12784576416016,80.67527186653452,78.95661168419502,79.47857554268843,9364400
2001-06-13,79.44037628173828,80.57341930538095,79.34489409129543,80.31243497526557,7629400
2001-06-14,77.65806579589844,79.12211324117857,77.49893041516914,79.04572651011499,12603000
2001-06-15,77.78318786621094,78.1342834036553,76.8575794423872,77.18314031617753,16821100
2001-06-18,77.40655517578125,78.15981063612185,77.18313297784944,77.65551203493938,11368300
2001-06-19,77.74491119384766,78.44709760522004,77.17039326809189,78.121536635585,7732300
2001-06-20,78.15341186523438,78.4279033368411,77.30440279372546,77.36185698883457,8787200
2001-06-21,79.04072570800781,79.35351675019142,77.97467928957934,78.01936372417701,12259100
2001-06-22,78.42149353027344,78.89387235328371,77.9810342355385,78.83003816696927,12212000
2001-06-25,77.70020294189453,78.79816911482132,77.55976472857985,78.69603046141462,8406800
2001-06-26,77.59169006347656,78.12790342314477,76.9661029402909,77.17676027597744,8005800
2001-06-27,77.54698181152344,78.03212569174954,77.1831214662349,77.62358091353917,10105100
